,index,Unnamed: 0,poems,our_summary,ground_summaries
17,17,17,"I wonder how it all got started, this business
about seeing your life flash before your eyes
while you drown, as if panic, or the act of submergence,
could startle time into such compression, crushing
decades in the vice of your desperate, final seconds.

After falling off a steamship or being swept away
in a rush of floodwaters, wouldn't you hope
for a more leisurely review, an invisible hand
turning the pages of an album of photographs-
you up on a pony or blowing out candles in a conic hat.

How about a short animated film, a slide presentation?
Your life expressed in an essay, or in one model photograph?
Wouldn't any form be better than this sudden flash?
Your whole existence going off in your face
in an eyebrow-singeing explosion of biography-
nothing like the three large volumes you envisioned.

Survivors would have us believe in a brilliance
here, some bolt of truth forking across the water,
an ultimate Light before all the lights go out,
dawning on you with all its megalithic tonnage.
But if something does flash before your eyes
as you go under, it will probably be a fish,

a quick blur of curved silver darting away,
having nothing to do with your life or your death.
The tide will take you, or the lake will accept it all
as you sink toward the weedy disarray of the bottom,
leaving behind what you have already forgotten,
the surface, now overrun with the high travel of clouds.","I wonder how it all got started, this business about seeing your life flash before your eyes while","'The Art of Drowning' by Billy Collins speaks humorously on near-death experiences and the idea that one's life could be contained in a “flash”. The poem begins with the speaker asking why and how the idea of life flashing before one's eyes came into being. He is mystified by it and encourages the reader to consider the same question. As the poem progresses he discusses how inadequate and distressing this experience would be. He also proposes a number of alternatives, such as a photo album being turned slowly or an essay. 'The Art of Drowning' ends with the speaker discusses one death by drowning and how one's memories would quickly be forgotten. They'd remain at the surface as one's body drifted to the bottom of a lake."
18,18,18,"I used to think that grown-up people chose
To have stiff backs and wrinkles round their nose,
And veins like small fat snakes on either hand,
On purpose to be grand.
Till through the banisters I watched one day
My great-aunt Etty’s friend who was going away,
And how her onyx beads had come unstrung.
I saw her grope to find them as they rolled;
And then I knew that she was helplessly old,
As I was helplessly young.",I used to think that grown-up people chose To have stiff backs and wrinkles roun,"'Childhood' is a moving encounter between a child and an elderly figure, in which the universality of age and mortality become apparent to the child. The poem begins from a point of scepticism on behalf of the narrator who is a small child. They do not believe the cosmetic reminders of age on people they encounter to be anything more than deliberate choices, like the clothes they wear. It is only after they witness an elderly person in distress that they begin to realise that age is something genuinely debilitating and they can no longer return to their earlier ignorance of it."
19,19,19,"""Christ of the Andes,"" Christ of Everywhere,
Great lover of the hills, the open air,
And patient lover of impatient men
Who blindly strive and sin and strive again, —
Thou Living Word, larger than any creed,
Thou Love Divine, uttered in human deed, —
Oh, teach the world, warring and wandering still,
Thy way of Peace, the foot path of Good Will!","""Christ of the Andes,"" Christ of Everywhere, Great lover of the hills,","'Christ of Everywhere' by Henry Van Dyke is a thoughtful poem about the presence of Christ in all things that human beings do. In the first line of the poem, the speaker begins by describing how Christ is everywhere and can be found in all the faults and good deeds of human beings. Christ is there as human beings sin and strive to be better again. The final lines are addressed to Christ himself and implore him to continue guiding human beings down a righteous path, one that follows Christ's teachings."
20,20,20,"Now that I have your face by heart, I look Less at its features than its darkening frame Where quince and melon, yellow as young flame, Lie with quilled dahlias and the shepherd’s crook. Beyond, a garden. There, in insolent ease
The lead and marble figures watch the show Of yet another summer loath to go
Although the scythes hang in the apple trees.
Now that I have your face by heart, I look.
Now that I have your voice by heart, I read In the black chords upon a dulling page Music that is not meant for music’s cage,
Whose emblems mix with words that shake and bleed. The staves are shuttled over with a stark Unprinted silence. In a double dream I must spell out the storm, the running stream. The beat’s too swift. The notes shift in the dark.
Now that I have your voice by heart, I read.
Now that I have your heart by heart, I see
The wharves with their great ships and architraves; The rigging and the cargo and the slaves
On a strange beach under a broken sky.
O not departure, but a voyage done!
The bales stand on the stone; the anchor weeps
Its red rust downward, and the long vine creeps Beside the salt herb, in the lengthening sun.
Now that I have your heart by heart, I see.",The bales stand on the stone; the anchor weeps Its re,"Song for the Last Act' by Louise Bogan describes the complicated and emotionally confining relationship that exists between a speaker and their listener. The poem begins with the speaker stating that she knows her partner so well, their face is memorized on her heart. She will go on to say the same about their heart and voice. She has spent a great deal of time with this person, so much so she has neglected the rest of the world. 'Song for the Last Act' works as a mental and emotional stopping point for the speaker in this relationship. She is finally looking beyond her partner to everything fading and changing. The season of summer, a pattern of music, and a ship's voyage all mark the end of something. The speaker does not give a clear description of whether or not this is a happy or sad ending. One can infer from the description of the anchor in the final stanza and the descriptions of fading warmth and music that the change is painful."
21,21,21,"Traveling through the dark I found a deer
dead on the edge of the Wilson River road.
It is usually best to roll them into the canyon:
that road is narrow; to swerve might make more dead.
By glow of the tail-light I stumbled back of the car and stood by the heap, a doe, a recent killing; she had stiffened already, almost cold.
I dragged her off; she was large in the belly.
My fingers touching her side brought me the reason—
her side was warm; her fawn lay there waiting, alive, still, never to be born.
Beside that mountain road I hesitated.
The car aimed ahead its lowered parking lights; under the hood purred the steady engine.
I stood in the glare of the warm exhaust turning red; around our group I could hear the wilderness listen.
I thought hard for us all—my only swerving—, then pushed her over the edge into the river.","I swerved through the dark, pushed a deer over the edge","'Traveling through the Dark' by William Stafford is a short but effective poem about the death of a deer. The speaker starts the poem by describing how he saw a deer on the side of the road and decided to stop and roll the body off and out of the way. This, he says, could save someone from losing their life. Before he can roll the deer into the river, he realizes that she's pregnant and that the fawn is still alive. This makes him pause. He considers what he's supposed to do in this scenario while the wilderness listens. He chooses to go ahead with his original plan and rolls her into the river."
22,22,22,"I’ve known rivers:
I’ve known rivers ancient as the world and older than the flow of human blood in human veins.

My soul has grown deep like the rivers.

I bathed in the Euphrates when dawns were young.
I built my hut near the Congo and it lulled me to sleep.
I looked upon the Nile and raised the pyramids above it.
I heard the singing of the Mississippi when Abe Lincoln went down to New Orleans, and I’ve seen its muddy bosom turn all golden in the sunset.

I’ve known rivers:
Ancient, dusky rivers.

My soul has grown deep like the rivers.",I’ve known rivers: I’ve known rivers ancient as the world and older than the,"'The Negro Speaks of Rivers' by Langston Hughes is told from the perspective of a man who has seen the great ages of the world alongside the banks of the most important rivers. The poem begins with the speaker stating that he knows rivers very well. There are a few in particular he wants to share with the reader. All of them are among the largest and longest on the planet. They have also all played host to some of the most important historical events and civilizations on the planet. The speaker has seen humankind's first moments alongside the Euphrates, participated in the building of the pyramids, and listened to the Mississippi while Abraham Lincoln was sibling down it. The poem concludes with a repetition of the opening lines, making sure a reader is aware of the speaker's deep connection to the bodies of water."
23,23,23,"How do you like to go up in a swing,
Up in the air so blue?
Oh, I do think it the pleasantest thing
Ever a child can do!
Up in the air and over the wall,
Till I can see so wide,
Rivers and trees and cattle and all
Over the countryside—
Till I look down on the garden green,
Down on the roof so brown—
Up in the air I go flying again,
Up in the air and down!", The poem is a poem of a child's imagination and imagination.</s,"'The Swing' by Robert Louis Stevenson is a simple profession of love for the joys of swinging told from the perspective by a young speaker. The poem begins with the speaker asking the listener how much they like to swing up into the blue air. This is a rhetorical question, as seen by the speaker's quick response. They love it more than anything and think it's the best thing a child could spend their time doing. In the next stanza, the child speaker describes how when they are swinging at their highest height they are able to see over a wall and into the countryside beyond. There are farmlands and farm animals, all waiting to be discovered. On the way back down they see the brown roof of their home. The descent is dragged out by the long “o” sounds utilized by Stevenson, but once they reach the bottom they quickly escape from the mundane and travel back up into the sky."
24,24,24,"Go to the western gate, Luke Havergal,
There where the vines cling crimson on the wall,
And in the twilight wait for what will come.
The leaves will whisper there of her, and some,
Like flying words, will strike you as they fall;
But go, and if you listen she will call.
Go to the western gate, Luke Havergal—
Luke Havergal.


No, there is not a dawn in eastern skies
To rift the fiery night that’s in your eyes;
But there, where western glooms are gathering,
The dark will end the dark, if anything:
God slays Himself with every leaf that flies,
And hell is more than half of paradise.
No, there is not a dawn in eastern skies—
In eastern skies.


Out of a grave I come to tell you this,
Out of a grave I come to quench the kiss
That flames upon your forehead with a glow
That blinds you to the way that you must go.
Yes, there is yet one way to where she is,
Bitter, but one that faith may never miss.
Out of a grave I come to tell you this—
To tell you this.


There is the western gate, Luke Havergal,
There are the crimson leaves upon the wall.
Go, for the winds are tearing them away,—
Nor think to riddle the dead words they say,
Nor any more to feel them as they fall;
But go, and if you trust her she will call.
There is the western gate, Luke Havergal—
Luke Havergal.",The crimson leaves upon the wall are a crimson crim,"Luke Havergal' by Edwin Arlington Robinson is told from inside the mind of Luke Havergal, a man who is being tempted to suicide by the prospect of love in death. The poem begins with the speaker stating that it is time for Luke Havergal to go to the “western gate.” It is here he will leave his present unsatisfactory life and find a new one. If he does cross over, which the speaker believes is inevitable, he will have a new lover. There is a woman waiting for him. In the following lines, the speaker describes a light in Luke Havergal's head. It is blinding him to his correct path. She intends to put it out and steer him to the gate. The speaker makes it clear she has come from the other side to guide him. The poem concludes with the speaker reiterating the text of the first stanza and making sure that Luke Havergal understands that his chance to find this woman is not unlimited. He must go now if he ever wants to be happy."
25,25,25,"London Bridge is falling down,
Falling down, falling down,
London Bridge is falling down,
My fair Lady.

Build it up with wood and clay,
Wood and clay, wood and clay,
Build it up with wood and clay,
My fair Lady.

Wood and clay will wash away,
Wash away, wash away,
Wood and clay will wash away,
My fair Lady.

Build it up with bricks and mortar,
Bricks and mortar, bricks and mortar,
Build it up with bricks and mortar,
My fair Lady.

Bricks and mortar will not stay,
Will not stay, will not stay,
Bricks and mortar will not stay,
My fair Lady.

Build it up with iron and steel,
Iron and steel, iron and steel,
Build it up with iron and steel,
My fair Lady.

Iron and steel will bend and bow,
Bend and bow, bend and bow,
Iron and steel will bend and bow,
My fair Lady.

Build it up with silver and gold,
Silver and gold, silver and gold,
Build it up with silver and gold,
My fair Lady.

Silver and gold will be stolen away,
Stolen away, stolen away,
Silver and gold will be stolen away,
My fair Lady.

Set a man to watch all nigh,
Watch all night, watch all night,
Set a man to watch all night,
My fair Lady.

Suppose the man should fall asleep,
Fall asleep, fall asleep,
Suppose the man should fall asleep?
My fair Lady.

Give him a pipe to smoke all night,
Smoke all night, smoke all night,
Give him a pipe to smoke all night,
My fair Lady.","London Bridge is falling down, Falling down, falling down, London Bridge is falling down,","The Fair Lady In regards to who the very mysterious and important “fair lady” is in the poem, there are also several theories. She might be the Virgin Mary, whose birthday falls on the supposed day the Viking attacked occurred. Others suggest that “she” is Matilda of Scotland, a consort to Henry I who was responsible for building a series of bridges. One final theory, she might be Eleanor of Provence, a consort of Henry II. She was attacked on the bridge with eggs and stones in response to political discontent."
26,26,26,"THE frost has settled down upon the trees
And ruthlessly strangled off the fantasies
Of leaves that have gone unnoticed, swept like old
Romantic stories now no more to be told.
The trees down the boulevard stand naked in
thought,
Their abundant summery wordage silenced, caught
In the grim undertow; naked the trees confront
Implacable winter's long, cross-questioning brunt.
Has some hand balanced more leaves in the depths
of the twigs?
Some dim little efforts placed in the threads of the
birch?—
It is only the sparrows, like dead black leaves on
the sprigs,
Sitting huddled against the cerulean, one flesh with
their perch.
The clear, cold sky coldly bethinks itself.
Like vivid thought the air spins bright, and all
Trees, birds, and earth, arrested in the after-thought
Awaiting the sentence out from the welkin brought.",The frost has settled down upon the trees And ruthlessly strangled off the fantas,"Winter in the Boulevard' by D.H. Lawrence describes the coming of the winter frost and the perilous position it places all life on the “Boulevard.” The poem begins with the speaker stating that the frost has landed on the trees and started to strangle the reaming leaves from their branches. They are cut down, blown away, and buried in the snow. Their “fantasies” of making it through the season are no more. Within the next lines, the speaker describes how the now naked trees are forced to confront the coming season. They are at risk from the weather and know it. In the third stanza, the speaker notices a few tiny sparrows huddled together amongst the leaves and twigs. They attempt to keep warm and serve as a reminder that life still exists during this season. The poem concludes with the speaker stating that all life on earth is at the mercy of the “welkin,” or sky and heavens. There is nothing on can do to truly contend with the frost, when it decides to come."
